Name,Applicants total,Admissions total,Enrolled total,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for students living on campus,State abbreviation,Sector of institution,Control of institution,Historically Black College or University,Historically Black Boolean,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid
Marist College,10351,3876,1149,37,30,48390,48390,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),6365,5121,1244,5566,799,4924,642,88,86,14,14,10,13,85,63,60,8
Marymount Manhattan College,4147,3095,399,75,13,48740,48740,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Arts & Sciences,1833,1593,240,1833,0,1593,240,92,89,30,30,18,15,88,86,86,10
Medaille College,1505,817,443,54,54,37312,37312,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),2390,2185,205,1727,663,1585,142,92,91,61,60,7,69,89,90,90,9
Mercy College,6546,3747,833,57,22,34278,34278,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),11648,7017,4631,8154,3494,5547,2607,95,92,71,71,3,68,87,78,78,6
Molloy College,3242,2356,501,73,21,43718,43718,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),4455,2903,1552,3375,1080,2693,682,97,93,36,30,22,51,92,97,97,3
Mount Saint Mary College,3551,3054,449,86,15,42290,42290,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),2556,1811,745,2203,353,1742,461,99,99,32,32,14,42,99,75,75,10
College of Mount Saint Vincent,2416,1766,386,73,22,44835,44835,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (smaller programs),1938,1539,399,1669,269,1489,180,100,100,62,62,15,67,99,89,89,11
Nazareth College,3838,2625,423,68,16,44290,44290,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),2823,2293,530,2034,789,1901,133,100,100,31,31,14,50,100,82,82,14
The College of New Rochelle,1554,885,532,57,60,47550,47550,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),3966,2865,1101,3225,741,2755,470,100,100,89,89,10,82,95,46,46,1
The New School,4978,3315,1038,67,31,59691,59691,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,10301,8415,1886,6777,3524,5878,899,95,94,26,26,13,7,94,43,43,6
New York University,57845,15066,5207,26,35,63540,63540,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (very high research activity),44599,35096,9503,22615,21984,21365,1250,55,48,20,20,3,10,46,42,41,3
Niagara University,3716,2465,700,66,28,42350,42350,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),4056,3342,714,2896,1160,2719,177,98,98,38,38,8,55,98,78,77,11
New York Institute of Technology,5433,4024,841,74,21,48552,48552,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),7545,6028,1517,4456,3089,3704,752,97,92,42,42,6,47,90,56,55,4
Nyack College,700,677,264,97,39,36532,36532,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),3082,2033,1049,1831,1251,1515,316,100,100,58,58,15,51,100,89,89,9
Pace University-New York,12885,9900,1848,77,19,56999,56999,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,12624,9148,3476,8289,4335,7116,1173,99,99,43,42,19,33,99,70,69,8
Paul Smiths College of Arts and Science,970,725,240,75,33,40021,40021,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Diverse Fields,981,969,12,981,0,969,12,99,99,48,48,16,59,98,84,84,18
Polytechnic Institute of New York University,3444,2591,451,75,17,59570,59570,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (high research activity),4890,4008,882,2155,2735,2033,122,94,93,42,42,16,40,93,57,57,8
Rensselaer Polytechnic Institute,16150,6654,1411,41,21,61820,61820,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Research Universities (very high research activity),6714,6565,149,5452,1262,5423,29,95,95,15,15,10,13,94,63,62,12
Roberts Wesleyan College,814,591,206,73,35,40888,40888,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),1735,1585,150,1315,420,1225,90,100,100,44,44,41,64,100,83,83,10
Rochester Institute of Technology,16354,9839,2784,60,28,47627,47627,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),16583,14119,2464,13880,2703,12106,1774,95,90,31,31,22,35,89,71,71,10
University of Rochester,17244,6153,1472,36,24,61340,61340,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Research Universities (very high research activity),11020,9284,1736,6177,4843,5837,340,89,88,19,18,17,17,87,56,51,6
The Sage Colleges,2237,1267,297,57,23,42470,42470,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (larger programs),2832,1852,980,1699,1133,1446,253,98,97,60,60,9,71,97,89,89,7
St Bonaventure University,2754,2203,438,80,20,42359,42359,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Master's Colleges and Universities (larger programs),2244,2037,207,1826,418,1780,46,99,99,30,29,19,39,99,71,71,13
St Francis College,2815,1811,568,64,31,43200,43200,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Diverse Fields,2819,2481,338,2764,55,2456,308,98,97,46,46,4,50,91,46,46,0
St Lawrence University,4424,2054,631,46,31,59550,59550,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Arts & Sciences,2506,2410,96,2414,92,2397,17,95,94,20,20,8,22,94,55,54,1
The College of Saint Rose,4651,3605,621,78,17,42234,42234,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (larger programs),4542,3303,1239,2891,1651,2664,227,99,99,38,38,30,47,98,81,81,15
St Thomas Aquinas College,1841,1514,337,82,22,41120,41120,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (smaller programs),1972,1307,665,1801,171,1259,542,97,94,36,36,8,37,89,68,68,6
Sarah Lawrence College,2165,1335,344,62,26,64122,64122,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1782,1701,81,1471,311,1441,30,78,70,15,14,2,4,70,63,62,6
Siena College,8082,5500,734,68,13,47265,47265,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,3207,3059,148,3151,56,3007,144,98,98,24,24,9,35,98,76,76,12
Skidmore College,8285,2904,660,35,23,60900,60900,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Small,Baccalaureate Colleges--Arts & Sciences,2702,2647,55,2684,18,2647,37,57,46,14,13,13,13,45,31,31,2
Saint John Fisher College,4016,2521,521,63,21,41370,41370,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Doctoral/Research Universities,3987,3350,637,2959,1028,2738,221,100,100,29,29,11,52,100,84,84,14
St John's University-New York,51634,27449,2792,53,10,56971,56971,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,20729,13719,7010,15773,4956,10908,4865,98,97,43,43,8,40,97,83,82,7
SUNY College of Technology at Alfred,5761,3165,1101,55,35,23239,29899,New York,"Public, 4-year or above",Public,No,0,Town: Remote,Baccalaureate/Associate's Colleges,3555,3222,333,3555,0,3222,333,94,82,56,55,18,67,78,79,78,8
SUNY College of Technology at Canton,3391,2653,780,78,29,21416,25586,New York,"Public, 4-year or above",Public,No,0,Town: Remote,Baccalaureate/Associate's Colleges,3512,2938,574,3512,0,2938,574,96,85,67,66,11,77,81,86,86,6
SUNY College of Technology at Delhi,4846,2843,935,59,33,21090,25260,New York,"Public, 4-year or above",Public,No,0,Town: Remote,Baccalaureate/Associate's Colleges,3308,2590,718,3308,0,2590,718,91,77,59,59,9,71,74,82,82,5
SUNY College of Agriculture and Technology at Cobleskill,2765,2021,781,73,39,22661,32111,New York,"Public, 4-year or above",Public,No,0,Town: Distant,Baccalaureate/Associate's Colleges,2453,2267,186,2453,0,2267,186,90,77,54,54,14,67,73,78,78,7
Farmingdale State College,5401,2843,1190,53,42,22185,31635,New York,"Public, 4-year or above",Public,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,8162,6074,2088,8162,0,6074,2088,68,51,33,33,9,45,45,42,42,2
Morrisville State College,4049,2388,858,59,36,23352,32802,New York,"Public, 4-year or above",Public,No,0,Rural: Distant,Baccalaureate/Associate's Colleges,3028,2668,360,3028,0,2668,360,94,85,65,65,5,76,11,82,82,4
SUNY at Albany,21178,11744,2568,55,22,22419,32739,New York,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (very high research activity),17338,14398,2940,12822,4516,12055,767,79,59,37,36,12,45,56,64,63,4
SUNY at Binghamton,28232,12104,2664,43,22,22832,33152,New York,"Public, 4-year or above",Public,No,0,Suburb: Midsize,Research Universities (high research activity),16077,14383,1694,12997,3080,12559,438,61,43,24,24,6,35,37,47,47,5
University at Buffalo,23093,13053,3669,57,28,23316,35256,New York,"Public, 4-year or above",Public,No,0,Suburb: Large,Research Universities (very high research activity),29850,24816,5034,19831,10019,18091,1740,75,59,31,31,15,42,27,52,52,7
Stony Brook University,30300,11963,2709,39,23,22127,34067,New York,"Public, 4-year or above",Public,No,0,Suburb: Large,Research Universities (very high research activity),24143,20044,4099,15992,8151,14892,1100,80,69,34,34,6,41,54,50,49,4
SUNY College of Environmental Science and Forestry,1538,777,288,51,37,24093,33543,New York,"Public, 4-year or above",Public,No,0,City: Midsize,Doctoral/Research Universities,2229,1966,263,1702,527,1647,55,90,84,32,23,21,38,82,61,61,5
SUNY Institute of Technology at Utica-Rome,1954,929,274,48,29,23065,32515,New York,"Public, 4-year or above",Public,No,0,Suburb: Midsize,Master's Colleges and Universities (medium programs),2480,1620,860,1804,676,1425,379,92,83,46,45,15,63,82,65,64,6
SUNY College at Brockport,8570,4091,1085,48,27,20952,30402,New York,"Public, 4-year or above",Public,No,0,Town: Fringe,Master's Colleges and Universities (larger programs),8128,6729,1399,7090,1038,6411,679,87,68,40,38,10,50,64,74,73,11
Buffalo State SUNY,11256,5463,1324,49,24,21493,30853,New York,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),11091,8799,2292,9355,1736,8293,1062,87,72,51,50,27,63,68,70,69,4
SUNY College at Cortland,11518,5394,1207,47,22,22634,32084,New York,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (larger programs),7110,6537,573,6400,710,6281,119,84,57,31,26,14,44,55,73,73,11
SUNY at Fredonia,5883,3032,1007,52,33,21638,31088,New York,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (medium programs),5391,5149,242,5092,299,4945,147,87,65,37,35,10,51,25,75,74,14
SUNY College at Geneseo,9164,4184,997,46,24,21672,31122,New York,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (smaller programs),5644,5452,192,5504,140,5386,118,59,42,18,18,7,37,36,43,42,4
State University of New York at New Paltz,12892,5620,1119,44,20,21403,30853,New York,"Public, 4-year or above",Public,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),7578,6538,1040,6570,1008,6060,510,73,48,29,29,17,46,45,59,59,3
SUNY Oneonta,10261,5205,1119,51,21,21680,31130,New York,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (smaller programs),6034,5808,226,5800,234,5675,125,79,53,27,27,6,41,50,63,63,5
SUNY College at Oswego,10351,5034,1508,49,30,21991,31441,New York,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (larger programs),8117,7306,811,7328,789,6954,374,91,78,40,40,13,52,44,73,73,5
SUNY College at Potsdam,4764,3257,821,68,25,21109,30559,New York,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (larger programs),4042,3817,225,3707,335,3596,111,91,77,47,46,12,59,73,77,77,6
SUNY at Purchase College,8405,2790,775,33,28,24672,34122,New York,"Public, 4-year or above",Public,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,4353,3949,404,4239,114,3847,392,82,60,36,34,14,42,26,69,69,4
SUNY College at Old Westbury,3341,1939,410,58,21,19284,28534,New York,"Public, 4-year or above",Public,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,4367,3657,710,4161,206,3558,603,77,64,52,52,16,61,59,53,49,9
SUNY College at Plattsburgh,8193,3739,954,46,26,21309,30759,New York,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (larger programs),6051,5458,593,5639,412,5186,453,91,77,37,34,14,50,76,70,69,7
SUNY Maritime College,1279,818,331,64,40,22614,32064,New York,"Public, 4-year or above",Public,No,0,City: Large,Baccalaureate Colleges--Diverse Fields,1755,1612,143,1601,154,1517,84,76,45,20,20,7,32,33,59,58,7
Syracuse University,28269,13990,3487,49,25,57450,57450,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Research Universities (high research activity),21267,19092,2175,15097,6170,14422,675,74,70,27,26,18,18,69,58,58,7
Touro College,1732,1016,859,59,85,28472,28472,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),13868,8105,5763,6827,7041,5139,1688,84,84,66,61,4,61,61,17,17,0
Union College,5725,2134,559,37,26,60150,60150,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,2246,2225,21,2246,0,2225,21,81,77,14,14,14,14,75,60,59,11
Utica College,3689,3151,489,85,16,48650,48650,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (medium programs),4028,2444,1584,2881,1147,2230,651,99,98,47,47,9,58,97,84,84,17
Vassar College,7597,1832,666,24,36,61320,61320,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,2477,2437,40,2477,0,2437,40,71,60,23,23,6,11,60,35,34,3
Wagner College,2942,2056,430,70,21,53924,53924,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),2245,1985,260,1842,403,1765,77,99,99,21,21,9,20,99,69,68,14
Wells College,2214,1321,161,60,12,49800,49800,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Arts & Sciences,534,524,10,534,0,524,10,100,100,57,56,34,58,100,85,84,20
Yeshiva University,1575,1294,857,82,66,55075,55075,New York,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (very high research activity),6747,5585,1162,2887,3860,2782,105,84,83,26,17,20,12,83,34,28,28
Appalachian State University,12248,7744,3028,63,39,19058,31266,North Carolina,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (larger programs),17838,16021,1817,16025,1813,15115,910,67,39,24,24,4,30,34,45,44,2
Barton College,2933,1225,217,42,18,39254,39254,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Diverse Fields,1065,906,159,1057,8,900,157,100,100,53,52,17,63,100,80,79,10
Belmont Abbey College,2197,1485,283,68,19,32564,32564,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Midsize,Baccalaureate Colleges--Diverse Fields,1647,1549,98,1647,0,1549,98,100,99,36,36,20,35,90,78,78,3
Bennett College,1639,1354,194,83,14,31035,31035,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Arts & Sciences,680,609,71,680,0,609,71,100,96,84,84,29,58,59,94,94,7
Brevard College,2299,1032,245,45,24,37000,37000,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Arts & Sciences,701,690,11,701,0,690,11,99,99,44,44,1,42,98,67,67,3
Campbell University,11714,8180,788,70,10,42580,42580,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Master's Colleges and Universities (larger programs),6122,4981,1141,4465,1657,3537,928,100,100,38,38,8,58,94,90,90,6
Catawba College,3226,1309,342,41,26,40743,40743,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Midsize,Baccalaureate Colleges--Diverse Fields,1310,1211,99,1298,12,1210,88,99,99,41,41,23,53,97,71,71,6
Chowan University,3708,2282,474,62,21,31780,31780,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,1367,1285,82,1361,6,1285,76,100,100,74,74,1,41,100,95,89,6
Davidson College,4745,1215,483,26,40,57458,57458,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1788,1788,0,1788,0,1788,0,62,55,13,13,2,8,55,18,18,1
Duke University,30374,4077,1714,13,42,61748,61748,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Research Universities (very high research activity),15467,14894,573,6646,8821,6629,17,64,48,15,14,4,3,47,39,38,3
East Carolina University,15535,9658,4015,62,42,20831,34944,North Carolina,"Public, 4-year or above",Public,No,0,City: Small,Doctoral/Research Universities,26887,20971,5916,21508,5379,18500,3008,73,49,33,32,8,36,39,61,61,8
Elizabeth City State University,3925,2243,527,57,23,13161,24018,North Carolina,"Public, 4-year or above",Public,Yes,1,Town: Distant,Baccalaureate Colleges--Diverse Fields,2421,2155,266,2336,85,2146,190,97,92,77,77,9,80,43,75,75,2
Elon University,9949,5370,1474,54,27,43546,43546,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Midsize,Master's Colleges and Universities (smaller programs),6305,6052,253,5599,706,5464,135,68,56,8,7,7,6,55,34,33,4
Fayetteville State University,4010,2204,612,55,28,14854,25650,North Carolina,"Public, 4-year or above",Public,Yes,1,City: Midsize,Master's Colleges and Universities (medium programs),6179,4325,1854,5410,769,3971,1439,96,94,78,78,27,80,78,82,82,0
Gardner-Webb University,5481,2640,435,48,16,37620,37620,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Master's Colleges and Universities (larger programs),4656,2784,1872,2587,2069,2089,498,100,98,39,39,9,46,95,69,67,11
Greensboro College,1314,1029,200,78,19,39376,39376,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Diverse Fields,1012,781,231,974,38,771,203,100,100,70,46,70,45,100,93,93,13
Guilford College,3030,2066,407,68,20,45395,45395,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Arts & Sciences,2302,1928,374,2302,0,1928,374,99,98,41,38,3,35,91,70,67,3
High Point University,7663,4918,1257,64,26,43900,43900,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Diverse Fields,4199,4017,182,3999,200,3953,46,73,68,11,11,6,6,66,47,45,9
Johnson C Smith University,4777,1752,232,37,13,32136,32136,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Arts & Sciences,1387,1323,64,1387,0,1323,64,89,83,61,61,18,31,63,72,72,5
Lees-McRae College,1751,1164,226,66,19,39250,39250,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Diverse Fields,890,883,7,890,0,883,7,100,100,38,38,8,40,100,73,73,5
Lenoir-Rhyne University,4762,3241,310,68,10,43360,43360,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,1898,1519,379,1491,407,1306,185,99,99,45,45,3,58,99,71,71,4
Livingstone College,3270,2329,395,71,17,25920,25920,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,Suburb: Midsize,Baccalaureate Colleges--Diverse Fields,1175,1164,11,1175,0,1164,11,98,89,86,86,19,64,68,91,91,2
Mars Hill University,2899,1869,419,64,22,38224,38224,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,1440,1333,107,1426,14,1319,107,99,99,58,58,10,55,97,83,81,3
Meredith College,1762,1098,415,62,38,41878,41878,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Diverse Fields,1872,1602,270,1571,301,1490,81,100,100,37,35,4,53,100,72,71,12
Methodist University,4079,2497,452,61,18,47311,47311,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Diverse Fields,2463,2100,363,2243,220,1962,281,99,98,48,41,20,38,91,71,70,12
Montreat College,700,380,109,54,29,35690,35690,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (smaller programs),926,635,291,743,183,462,281,100,100,43,43,31,41,100,77,77,3
Mount Olive College,2117,1054,333,50,32,27850,27850,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Diverse Fields,3414,1386,2028,3414,0,1386,2028,100,98,40,40,22,43,93,66,66,3
North Carolina A & T State University,4480,3120,1849,70,59,15929,27010,North Carolina,"Public, 4-year or above",Public,Yes,1,City: Large,Doctoral/Research Universities,10561,9086,1475,8872,1689,8098,774,95,78,64,62,15,51,55,83,83,5
University of North Carolina at Asheville,3036,1944,553,64,28,18765,32587,North Carolina,"Public, 4-year or above",Public,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,3784,3129,655,3736,48,3129,607,77,65,26,26,5,40,59,47,47,3
University of North Carolina at Chapel Hill,28437,7847,3915,28,50,24024,45806,North Carolina,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (very high research activity),29127,24390,4737,18370,10757,17570,800,68,48,20,20,3,23,46,32,31,3
University of North Carolina at Charlotte,13742,9416,3541,69,38,19080,31609,North Carolina,"Public, 4-year or above",Public,No,0,City: Large,Doctoral/Research Universities,26571,20436,6135,21503,5068,18309,3194,75,53,37,37,3,41,38,60,59,5
University of North Carolina at Greensboro,10112,6069,2516,60,41,19172,32970,North Carolina,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (high research activity),18074,13858,4216,14753,3321,12469,2284,80,62,48,48,2,54,54,61,61,2
North Carolina Central University,8886,4472,1407,50,31,18547,29120,North Carolina,"Public, 4-year or above",Public,Yes,1,City: Midsize,Master's Colleges and Universities (larger programs),8093,6550,1543,6220,1873,5297,923,97,89,77,76,12,77,67,89,89,0
North Carolina State University at Raleigh,20700,10353,4398,50,42,22184,35639,North Carolina,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),34009,26770,7239,24536,9473,21469,3067,71,55,22,21,6,30,52,46,45,3
North Carolina Wesleyan College,1634,764,222,47,29,37812,37812,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,1602,1232,370,1602,0,1232,370,84,76,56,55,13,48,68,71,71,3
University of North Carolina Wilmington,11184,6061,2053,54,34,20601,32738,North Carolina,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),13937,12001,1936,12447,1490,11408,1039,69,47,21,21,1,27,43,54,53,4
William Peace University,1083,984,328,91,33,38900,38900,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Arts & Sciences,1007,875,132,1007,0,875,132,100,100,67,67,59,74,100,84,84,1
University of North Carolina at Pembroke,3087,2224,1020,72,46,17622,26829,North Carolina,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (medium programs),6222,4485,1737,5429,793,4230,1199,92,80,59,59,5,74,10,73,73,0
Pfeiffer University,1662,1597,218,96,14,37140,37140,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Master's Colleges and Universities (larger programs),1860,1041,819,951,909,856,95,100,100,50,50,32,61,100,83,82,7
Queens University of Charlotte,1949,1498,316,77,21,44124,44124,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),2285,1579,706,1734,551,1410,324,97,97,45,35,9,34,93,59,58,7
Mid-Atlantic Christian University,168,69,37,41,54,25090,25090,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,162,129,33,162,0,129,33,100,100,58,58,3,56,89,94,94,0
Saint Augustine's University,2560,1725,327,67,19,31642,31642,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Diverse Fields,1299,1265,34,1299,0,1265,34,85,80,68,68,38,48,39,70,70,2
Salem College,854,497,174,58,35,41600,41600,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Arts & Sciences,1187,845,342,979,208,827,152,99,99,51,51,7,46,99,79,78,2
Shaw University,6207,3382,507,54,15,29378,29378,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Diverse Fields,2062,1875,187,1923,139,1784,139,98,94,86,86,34,61,48,95,95,5
St Andrews University,898,579,178,64,31,40000,40000,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,635,592,43,595,40,558,37,100,100,42,42,10,33,97,75,74,4
Wake Forest University,11121,3915,1232,35,31,60242,60242,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Research Universities (high research activity),7602,7375,227,4823,2779,4756,67,81,64,18,17,15,28,48,50,44,18
Warren Wilson College,1214,845,220,70,26,43000,43000,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,893,887,6,830,63,824,6,90,84,39,39,3,19,84,61,59,2
Wingate University,5323,4221,642,79,15,37740,37740,North Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (smaller programs),3002,2457,545,2009,993,1953,56,99,95,35,35,1,54,95,66,66,6
Winston-Salem State University,5164,2874,685,56,24,16708,25521,North Carolina,"Public, 4-year or above",Public,Yes,1,City: Midsize,Master's Colleges and Universities (medium programs),5399,4614,785,4938,461,4317,621,96,91,74,74,20,73,64,82,82,3
